model_folder,experiment,fold,architecture,img_size,test_mAP50,test_mAP75,test_mAP_COCO,best_val_mAP50_FT,fps,latency_ms_img,duration,params_M,early_stop
set1_balanced_subsampled,fold_3_config,fold_3_config,yolo26n,,,,,,,0.0,,0.0,
set1_balanced_subsampled,fold_2_config,fold_2_config,yolo26n,,,,,,,0.0,,0.0,
set1_balanced_subsampled,fold_1_config,fold_1_config,yolo26n,,,,,,,0.0,,0.0,
set3_random_full,fold_4_config,fold_4_config,yolo26n,,,,,,,0.0,,0.0,
set3_random_full,fold_3_config,fold_3_config,yolo26n,,,,,,,0.0,,0.0,
set3_random_full,fold_2_config,fold_2_config,yolo26n,,,,,,,0.0,,0.0,
set3_random_full,fold_1_config,fold_1_config,yolo26n,,,,,,,0.0,,0.0,
set2_balanced_full,fold_4_config,fold_4_config,yolo26m,,,,,,,0.0,,0.0,
set2_balanced_full,fold_3_config,fold_3_config,yolo26m,,,,,,,0.0,,0.0,
set2_balanced_full,fold_2_config,fold_2_config,yolo26m,,,,,,,0.0,,0.0,
set2_balanced_full,fold_1_config,fold_1_config,yolo26m,,,,,,,0.0,,0.0,
set1_balanced_subsampled,fold_4_config,fold_4_config,yolo26m,,,,,,,0.0,,0.0,
set1_balanced_subsampled,fold_3_config,fold_3_config,yolo26m,,,,,,,0.0,,0.0,
set1_balanced_subsampled,fold_2_config,fold_2_config,yolo26m,,,,,,,0.0,,0.0,
set1_balanced_subsampled,fold_1_config,fold_1_config,yolo26m,,,,,,,0.0,,0.0,
set3_random_full,fold_4_config,fold_4_config,yolo26m,,,,,,,0.0,,0.0,
set3_random_full,fold_3_config,fold_3_config,yolo26m,,,,,,,0.0,,0.0,
set3_random_full,fold_2_config,fold_2_config,yolo26m,,,,,,,0.0,,0.0,
set3_random_full,fold_1_config,fold_1_config,yolo26m,,,,,,,0.0,,0.0,
